User-ID,ISBN,Book-Rating
276744,038550120X,7
276747,60517794,9
276747,671537458,9
276747,679776818,8
276754,684867621,8
276755,451166892,5
276762,380711524,5
276788,043935806X,7
276788,055310666X,10
276796,330332775,5
276804,440498058,8
276822,60096195,10
276828,2253150711,7
276830,440225825,9
276832,345446860,5
276837,380005239,5
276847,3423071516,10
276847,3551551677,10
276847,3551551685,10
276850,449217264,7
276859,836218833,10
276859,836220889,10
276861,3423201509,10
276872,042518109X,8
276887,812533550,9
276896,440241537,10
276925,002542730X,10
276925,140154078,6
276925,385504209,8
276925,950491036X,10
276928,059030271X,5
276929,2266104535,2
276936,3596122279,5
276939,2253063339,9
276939,2253137243,9
276939,2253144452,9
276939,8423310353,8
276953,446310786,10
276957,312966970,6
276964,345354621,10
276964,440220602,9
276964,684867621,8
276964,886773741,7
276986,60930187,10
276986,375760911,10
276986,689817851,10
276986,874869870,10
276988,61094404,8
276988,671793489,8
276994,3423202327,6
276994,3492045170,7
276994,3548359698,6
276998,618045996,8
277018,373250223,7
277028,425182150,10
277042,312283709,8
277042,446605484,7
277042,446611212,8
277042,609804138,9
277042,074343627X,8
277042,971880107,2
277051,385720920,10
277072,1573229571,9
277087,8472230082,5
277094,64404773,10
277107,081297106X,10
277109,425191184,5
277109,751503894,5
277124,425189864,9
277124,440236053,9
277124,440241073,9
277124,553586122,5
277139,312960344,8
277143,031286504X,10
277143,345342968,9
277143,767903382,8
277157,312979517,5
277157,316154059,5
277157,345450175,6
277157,345452550,7
277157,399146504,7
277157,399147101,7
277157,399148639,6
277157,399148728,8
277157,399151451,7
277157,671024094,7
277157,679450408,6
277157,743486226,7
277168,671032658,4
277168,812568710,5
277170,553285920,9
277171,449213730,8
277171,451173139,7
277171,553580930,9
277171,080410946X,8
277179,440414806,10
277179,679767800,7
277187,679745203,9
277188,525945636,4
277195,60391626,10
277195,330332775,10
277195,055326611X,10
277195,553347756,10
277195,553379615,10
277195,670869902,10
277195,671021001,10
277195,1573221856,10
277197,316969680,8
277197,375703861,7
277197,440225442,8
277197,743229878,6
277203,039480001X,9
277203,394800028,9
277203,394800184,9
277203,039480029X,8
277203,717283208,8
277212,044023722X,8
277220,671015648,7
277228,61044636,6
277229,312282990,7
277230,037541309X,7
277230,826308791,5
277235,014029628X,6
277235,375703861,10
277237,038550926X,7
277243,449005909,8
277246,452282152,10
277253,380807343,9
277257,345422384,8
277261,440241073,7
277281,62501860,9
277284,553581929,7
277292,1551668726,8
277293,380721643,4
277315,60173289,8
277315,60976845,5
277363,60393823,1
277363,156027321,8
277364,553576801,5
277374,671521705,7
277378,312195516,7
277378,446608955,4
277378,670892963,7
277378,671646575,6
277378,804114986,5
277397,399140751,8
277402,051511605X,6
277427,002542730X,10
277427,60542128,7
277427,61009059,9
277427,152050167,10
277427,316776963,8
277427,345413903,10
277427,380702843,8
277427,380791978,9
277427,385424736,9
277427,385486804,9
277427,385503857,9
277427,385504209,8
277427,039304016X,8
277427,399501487,9
277427,425104338,9
277427,425116840,8
277427,425133516,9
277427,440185327,5
277427,440224764,7
277427,440236061,8
277427,440236738,9
277427,441627404,10
277427,446350982,9
277427,446600415,10
277427,446608890,10
